Name,Quantity,Component
"U1",1," Arduino Uno R3"
"D1",1,"Red LED"
"D2",1,"Green LED"
"D3",1,"Blue LED"
"D4",1,"Yellow LED"
"R1, R2, R3, R4",4,"160 Ω Resistor"
"S1, S2, S5, S6",4," Pushbutton"
"R6, R7, R8, R9",4,"10 kΩ Resistor"
"PIEZO1",1," Piezo"
